[2025-07-30 22:31:09,095] DEBUG - Using proactor: IocpProactor
[2025-07-30 22:31:15,239] DEBUG - Starting new HTTP connection (1): api.acoustid.org:80
[2025-07-30 22:31:15,501] DEBUG - http://api.acoustid.org:80 "POST /v2/lookup HTTP/1.1" 200 None
[2025-07-30 22:31:15,895] DEBUG - connect_tcp.started host='127.0.0.1' port=9050 timeout=15
[2025-07-30 22:31:15,897] DEBUG - connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C4AFFE0>
[2025-07-30 22:31:15,897] DEBUG - setup_socks5_connection.started stream=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C4AFFE0> host='musicbrainz.org' port=443 auth=None
[2025-07-30 22:31:16,125] DEBUG - setup_socks5_connection.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C4AFFE0>
[2025-07-30 22:31:16,125] DEBUG - start_tls.started ssl_context=<ssl.SSLContext object at 0x000002380C4C85D0> server_hostname='musicbrainz.org' timeout=15
[2025-07-30 22:31:16,134] DEBUG - start_tls.failed exception=ConnectError(BrokenResourceError())
[2025-07-30 22:31:17,379] DEBUG - connect_tcp.started host='127.0.0.1' port=9050 timeout=15
[2025-07-30 22:31:17,380] DEBUG - connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C51EB10>
[2025-07-30 22:31:17,380] DEBUG - setup_socks5_connection.started stream=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C51EB10> host='musicbrainz.org' port=443 auth=None
[2025-07-30 22:31:17,458] DEBUG - setup_socks5_connection.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C51EB10>
[2025-07-30 22:31:17,458] DEBUG - start_tls.started ssl_context=<ssl.SSLContext object at 0x000002380C53A5D0> server_hostname='musicbrainz.org' timeout=15
[2025-07-30 22:31:17,469] DEBUG - start_tls.failed exception=ConnectError(EndOfStream())
[2025-07-30 22:31:18,711] DEBUG - connect_tcp.started host='127.0.0.1' port=9050 timeout=15
[2025-07-30 22:31:18,711] DEBUG - connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C51F950>
[2025-07-30 22:31:18,711] DEBUG - setup_socks5_connection.started stream=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C51F950> host='musicbrainz.org' port=443 auth=None
[2025-07-30 22:31:18,796] DEBUG - setup_socks5_connection.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C51F950>
[2025-07-30 22:31:18,796] DEBUG - start_tls.started ssl_context=<ssl.SSLContext object at 0x000002380C53AC50> server_hostname='musicbrainz.org' timeout=15
[2025-07-30 22:31:18,839] DEBUG - start_tls.failed exception=ConnectError(EndOfStream())
[2025-07-30 22:31:23,094] DEBUG - connect_tcp.started host='127.0.0.1' port=9050 timeout=15
[2025-07-30 22:31:23,098] DEBUG - connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C011460>
[2025-07-30 22:31:23,098] DEBUG - setup_socks5_connection.started stream=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C011460> host='musicbrainz.org' port=443 auth=None
[2025-07-30 22:31:23,208] DEBUG - setup_socks5_connection.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C011460>
[2025-07-30 22:31:23,208] DEBUG - start_tls.started ssl_context=<ssl.SSLContext object at 0x000002380C53B450> server_hostname='musicbrainz.org' timeout=15
[2025-07-30 22:31:23,325] DEBUG - start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380BE37950>
[2025-07-30 22:31:23,326] DEBUG - send_request_headers.started request=<Request [b'GET']>
[2025-07-30 22:31:23,326] DEBUG - send_request_headers.complete
[2025-07-30 22:31:23,326] DEBUG - send_request_body.started request=<Request [b'GET']>
[2025-07-30 22:31:23,327] DEBUG - send_request_body.complete
[2025-07-30 22:31:23,327] DEBUG - receive_response_headers.started request=<Request [b'GET']>
[2025-07-30 22:31:23,444] DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Wed, 30 Jul 2025 19:31:24 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Keep-Alive', b'timeout=15'), (b'Vary', b'Accept-Encoding'), (b'X-RateLimit-Limit', b'1200'), (b'X-RateLimit-Remaining', b'694'), (b'X-RateLimit-Reset', b'1753903884'), (b'Server', b'Plack::Handler::Starlet'), (b'ETag', b'W/"9772712e47cad25c7f253f420deef740"'), (b'Access-Control-Allow-Origin', b'*'), (b'X-Runtime', b'0.105196'), (b'X-Cache-Status', b'STALE'), (b'Content-Encoding', b'gzip')])
[2025-07-30 22:31:23,445] INFO - HTTP Request: GET https://musicbrainz.org/ws/2/recording/200f0b3f-5001-4b86-a95d-75bec48c293b?inc=artists%2Breleases%2Btags&fmt=json "HTTP/1.1 200 OK"
[2025-07-30 22:31:23,445] DEBUG - receive_response_body.started request=<Request [b'GET']>
[2025-07-30 22:31:23,445] DEBUG - receive_response_body.complete
[2025-07-30 22:31:23,445] DEBUG - response_closed.started
[2025-07-30 22:31:23,445] DEBUG - response_closed.complete
[2025-07-30 22:31:23,711] DEBUG - connect_tcp.started host='127.0.0.1' port=9050 timeout=15
[2025-07-30 22:31:23,712] DEBUG - connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C51F6E0>
[2025-07-30 22:31:23,712] DEBUG - setup_socks5_connection.started stream=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C51F6E0> host='musicbrainz.org' port=443 auth=None
[2025-07-30 22:31:23,826] DEBUG - setup_socks5_connection.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C51F6E0>
[2025-07-30 22:31:23,827] DEBUG - start_tls.started ssl_context=<ssl.SSLContext object at 0x000002380C53B050> server_hostname='musicbrainz.org' timeout=15
[2025-07-30 22:31:23,935] DEBUG - start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002380C51F950>
[2025-07-30 22:31:23,936] DEBUG - send_request_headers.started request=<Request [b'GET']>
[2025-07-30 22:31:23,936] DEBUG - send_request_headers.complete
[2025-07-30 22:31:23,936] DEBUG - send_request_body.started request=<Request [b'GET']>
[2025-07-30 22:31:23,936] DEBUG - send_request_body.complete
[2025-07-30 22:31:23,936] DEBUG - receive_response_headers.started request=<Request [b'GET']>
[2025-07-30 22:31:24,133] DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Wed, 30 Jul 2025 19:31:24 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Keep-Alive', b'timeout=15'), (b'Vary', b'Accept-Encoding'), (b'X-RateLimit-Limit', b'1200'), (b'X-RateLimit-Remaining', b'454'), (b'X-RateLimit-Reset', b'1753903884'), (b'Server', b'Plack::Handler::Starlet'), (b'ETag', b'W/"22cd475f5e27b663e3262f2bb8c0e935"'), (b'Access-Control-Allow-Origin', b'*'), (b'X-Runtime', b'0.038354'), (b'X-Cache-Status', b'MISS'), (b'Content-Encoding', b'gzip')])
